pay;année;pays;energie;fertilit;espervie;mortinfa;croispop;dépeduc;scolprim;vaagricu;prodelec;engrais;ide;pibhab;irrigati;vaindust;vaservic;urbanisa;analphab;forêt;pêche;tranpair;co2
Portugal;75;Portugal75;876,61;2,52;69,31;39;3,8;3,39;116,78;25,15;10701000000;999,59;-0,13;3056,49;20,04;35,21;39,64;27,66;77,48;2700;377643;67,5;2,19
Roumanie;75;Roumanie75;2435,77;2,6;69,61;38;1,02;3,48;107,23;30,89;53721000000;1228,42;0;1761,29;14,04;65,64;3,47;42,83;94,43;6549;136624;8,8;7,43
Espagne;75;Espagne75;1644,57;2,79;73,23;20;1,04;1,69;111,21;9,95;82098000000;886,06;0,02;4405,91;13,53;42,08;47,97;69,57;92,9;14944;1598282;214,7;4,8
Syrie;75;Syrie75;495,29;7,54;58,84;72;3,29;3,95;95,58;17,85;1991000000;139,41;-0,13;882,17;9,42;24,39;57,77;45,06;47,66;445;2001;7,4;1,38
Tunisie;75;Tunisie75;458,92;5,86;58,55;104;2,11;5,03;96,47;18,48;1408000000;153,6;1,01;1281,06;4,01;25,93;55,59;49,85;36,29;505;45129;5,7;0,96
Turquie;75;Turquie75;669,36;4,72;59,28;127;2,32;2,17;107,55;35,8;15623000000;357,78;0,01;1457,87;7,95;19,87;44,34;41,6;63,05;20170;122484;9,7;1,62
Algérie;70;Algérie70;259,79;7,42;53,26;143;3;7,72;76,11;9,21;2229000000;177,66;6,94;1767,94;3,5;45,53;45,26;39,5;21,52;3700;24234;3,1;1,1
Chypre;70;Chypre70;1052,12;2,6;70,97;29;1,14;4,72;107,21;15,69;665000000;2744,7;0,77;1630,8;13,22;27,5;56,81;40,76;83,4;123;1363;2,2;2,77
Egypte;70;Egypte70;232,85;5,95;51,13;157;2,09;4,74;67,55;29,43;7998000000;1368,41;9,14;580,24;100;28,18;42,4;42,21;31,59;31;76758;15,3;0,64
France;70;France70;2895,75;2,48;72,01;18;0,9;4,7;116,93;7,2;1,47E+11;2670,64;-0,03;5951,96;4,02;38,65;54,15;71,06;100;14013;774268;474,6;8,35
Grèce;70;Grèce70;920,62;2,34;71,84;38;0,23;1,84;107,21;15,06;9820000000;1118,45;2,53;4320,31;18,67;36,12;48,82;52,5;86,51;2610;86069;31,1;2,75
Hongrie;70;Hongrie70;1735,42;1,97;69,76;36;0,33;3,67;97,73;25,62;14542000000;1612,1;-0,12;2989,89;1,95;49,62;24,76;48,52;98,08;1471;26000;6,2;6,77
Italie;70;Italie70;2036,06;2,42;71,88;30;0,53;3,71;108,57;8,52;1,16E+11;1116,7;0,05;5319,35;16,08;40,39;51,09;64,27;94,47;6162;415749;275,2;5,31
Jordanie;70;Jordanie70;337,99;8,34;56,16;77;4,82;3,81;72,05;11,64;230000000;96,02;4,9;918,57;10,83;18,98;69,38;56,05;55,1;56;100;1,2;0,98
Maroc;70;Maroc70;153,89;6,97;51,89;119;2,66;3,47;51,5;19,94;2290000000;124,08;1,38;890,89;12,26;26,97;53,09;34,61;19,79;7640;249705;4,8;0,46
Pologne;70;Pologne70;2567,55;2,2;69,87;32;-0,09;2,92;101,26;17,01;64417000000;1704,46;0,16;1991,88;1,39;57,44;25,55;52,32;95,74;8546;469461;6,2;9,26
Portugal;70;Portugal70;662,1;2,76;67,42;53;-0,58;1,43;94,86;27,83;7438000000;522,42;-0,13;3056,49;20,12;35,14;37,03;25,91;73,65;2500;462828;37;1,5
Roumanie;70;Roumanie70;2055,98;2,89;68,49;46;1,21;2,89;112,57;30,89;39454000000;610,6;0;1761,29;6,95;63,44;5,66;40,32;93,4;6549;62809;7,1;5,73
Espagne;70;Espagne70;1135,38;2,84;72,32;27;1,05;1,95;122,84;11,76;56303000000;775,02;0,02;4405,91;11,59;40,67;47,57;66,04;91,54;14200;1552166;90,8;3,27
Syrie;70;Syrie70;417,98;7,73;55,79;90;3,36;3,85;77,53;20,16;1345000000;71,57;-0,13;882,17;7,63;25,18;54,66;43,35;41,07;468;1700;1;0,97
Tunisie;70;Tunisie70;392,28;6,42;54,19;135;1,89;6,81;100,41;17,03;926000000;106,8;1,01;1281,06;4,28;20,58;62,39;44,53;27,42;470;22560;1,4;0,71
Turquie;70;Turquie70;515,95;5,27;56,7;150;2,54;2,08;107,48;39,54;8623000000;173,74;0,19;1457,87;6,57;20,13;40,33;38,42;56,48;20170;174182;4,6;1,19
